,0,1
0,AE,4.714285714285714
1,AL,5.0
2,AR,4.9
3,AT,4.461538461538462
4,AU,4.50561797752809
5,BE,4.777777777777778
6,BG,5.0
7,BH,4.0
8,BN,5.0
9,BR,4.612903225806452
10,BY,5.0
11,CA,4.468421052631579
12,CH,4.818181818181818
13,CL,4.625
14,CN,4.862068965517241
15,CO,5.0
16,CR,5.0
17,CY,5.0
18,CZ,5.0
19,DE,4.734939759036145
20,DK,4.678571428571429
21,DO,5.0
22,EC,3.6666666666666665
23,EG,4.666666666666667
24,ES,4.833333333333333
25,FI,4.363636363636363
26,FR,4.722222222222222
27,GB,4.664576802507837
28,GR,4.6
29,GT,5.0
30,HK,4.6
31,HN,4.0
32,HR,4.6
33,HU,4.333333333333333
34,ID,4.833333333333333
35,IE,4.6
36,IL,5.0
37,IN,4.84375
38,IS,4.0
39,IT,4.9411764705882355
40,JO,5.0
41,JP,4.9
42,KH,5.0
43,KR,4.2
44,KW,5.0
45,KZ,5.0
46,LB,5.0
47,LK,5.0
48,LT,5.0
49,LV,5.0
50,MK,5.0
51,MT,5.0
52,MX,4.620689655172414
53,MY,4.407407407407407
54,NE,5.0
55,NG,4.5
56,NL,4.622222222222222
57,NO,4.775
58,NZ,4.5
59,OM,4.0
60,PE,4.833333333333333
61,PH,4.857142857142857
62,PK,4.0
63,PL,4.666666666666667
64,PT,5.0
65,RO,4.714285714285714
66,RU,4.684210526315789
67,SE,4.5
68,SG,4.964285714285714
69,SI,5.0
70,SK,5.0
71,TH,4.888888888888889
72,TN,5.0
73,TR,4.75
74,TW,4.6
75,TZ,5.0
76,UA,4.857142857142857
77,US,4.507191994996873
78,UY,5.0
79,VN,5.0
80,ZA,4.529411764705882
