,date,score
0,0 apps,2
1,1 apps,5
2,10 apps,5
3,100 apps,5
4,11 apps,5
5,12 apps,5
6,13 apps,5
7,14 apps,5
8,15 apps,5
9,16 apps,5
10,17 apps,5
11,18 apps,5
12,19 apps,5
13,2 apps,5
14,20 apps,5
15,21 apps,5
16,22 apps,5
17,23 apps,5
18,24 apps,5
19,25 apps,5
20,26 apps,5
21,27 apps,5
22,28 apps,5
23,29 apps,5
24,3 apps,5
25,30 apps,5
26,31 apps,5
27,32 apps,5
28,33 apps,5
29,34 apps,5
30,35 apps,5
31,36 apps,5
32,37 apps,5
33,38 apps,5
34,39 apps,5
35,4 apps,5
36,40 apps,5
37,41 apps,5
38,42 apps,5
39,43 apps,5
40,44 apps,5
41,45 apps,5
42,46 apps,5
43,47 apps,5
44,48 apps,5
45,49 apps,5
46,5 apps,5
47,50 apps,5
48,51 apps,5
49,52 apps,5
50,53 apps,5
51,54 apps,5
52,55 apps,5
53,56 apps,5
54,57 apps,5
55,58 apps,5
56,59 apps,5
57,6 apps,5
58,60 apps,5
59,61 apps,5
60,62 apps,5
61,63 apps,5
62,64 apps,5
63,65 apps,5
64,66 apps,5
65,67 apps,5
66,68 apps,5
67,69 apps,5
68,7 apps,5
69,70 apps,5
70,71 apps,5
71,72 apps,5
72,73 apps,5
73,74 apps,5
74,75 apps,5
75,76 apps,5
76,77 apps,5
77,78 apps,5
78,79 apps,5
79,8 apps,5
80,80 apps,5
81,81 apps,5
82,82 apps,5
83,83 apps,5
84,84 apps,5
85,85 apps,5
86,86 apps,5
87,87 apps,5
88,88 apps,5
89,89 apps,5
90,9 apps,5
91,90 apps,5
92,91 apps,5
93,92 apps,5
94,93 apps,5
95,94 apps,5
96,95 apps,5
97,96 apps,5
98,97 apps,5
99,98 apps,5
